------------------------------------------------------------------------

_Search parameters_:
Nucleus:15N

------------------------------------------------------------------------

A  	Element	A  	N  	Energy    	Unc     	JPi               	T1/2 (txt)               
15 	N      	7  	8  	0.0       	        	1/2-              	STABLE                   
15 	N      	7  	8  	5270.155  	14      	5/2+              	1.79 PS 10               
15 	N      	7  	8  	5298.822  	14      	1/2+              	17 FS 5                  
15 	N      	7  	8  	6323.78   	2       	3/2-              	0.146 FS 8               
15 	N      	7  	8  	7155.05   	2       	5/2+              	12 FS 6                  
15 	N      	7  	8  	7300.83   	2       	3/2+              	0.42 FS 4                
15 	N      	7  	8  	7567.1    	10      	7/2+              	8 FS +8-4                
15 	N      	7  	8  	8312.62   	3       	1/2+              	1.2 FS 8                 
15 	N      	7  	8  	8571.40   	12      	3/2+              	0.5 FS 5                 
15 	N      	7  	8  	9049.71   	7       	1/2+              	0.35 FS 6                
15 	N      	7  	8  	9151.90   	12      	3/2-              	0.97 FS 25               
15 	N      	7  	8  	9154.90   	3       	5/2+              	5 FS +4-2                
15 	N      	7  	8  	9222.1    	8       	1/2-              	90 FS LT                 
15 	N      	7  	8  	9760      	1       	5/2-              	1.8 FS 6                 
15 	N      	7  	8  	9829      	3       	7/2-              	12 FS 5                  
15 	N      	7  	8  	9925.0    	2       	3/2-              	0.21 FS 4                
15 	N      	7  	8  	10066.0   	2       	3/2+              	0.069 FS 4               
15 	N      	7  	8  	10449.7   	3       	5/2-              	0.5 KEV LT               
15 	N      	7  	8  	10533.3   	5       	5/2+              	                         
15 	N      	7  	8  	10693.2   	3       	9/2+              	12 FS 6                  
15 	N      	7  	8  	10701.9   	3       	3/2-              	0.2 KEV                  
15 	N      	7  	8  	10804     	2       	3/2+              	0.001 KEV LT             
15 	N      	7  	8  	11235     	5       	GE 3/2            	3.3 KEV                  
15 	N      	7  	8  	11292.8   	7       	1/2-              	8 KEV 3                  
15 	N      	7  	8  	11437.6   	7       	1/2+              	41.4 KEV 11              
15 	N      	7  	8  	11615     	4       	1/2+              	405 KEV 6                
15 	N      	7  	8  	11763     	3       	3/2+              	40 KEV                   
15 	N      	7  	8  	11876     	3       	3/2-              	25 KEV                   
