A  	Element	A  	N  	Energy    	Unc     	JPi               	T1/2 (txt)               
21 	O      	8  	13 	0.0       	        	(5/2+)            	3.42 S 10                
21 	O      	8  	13 	1220      	3       	(1/2+)            	                         
21 	O      	8  	13 	2133      	5       	                  	                         
21 	O      	8  	13 	3026      	6       	(7/2+)            	                         
21 	O      	8  	13 	3073      	10      	(7/2+)            	                         
21 	O      	8  	13 	4.77E3    	10      	3/2+              	                         
21 	O      	8  	13 	4927      	12      	(9/2+)            	                         
21 	O      	8  	13 	6.14E3    	8       	(1/2-,3/2-)       	                         
21 	O      	8  	13 	6.80E3    	10      	(1/2-,3/2-)       	                         
21 	O      	8  	13 	6.91E3    	7       	(1/2-,3/2-)       	                         
21 	O      	8  	13 	9.02E3    	12      	(1/2-,3/2-)       	                         
21 	O      	8  	13 	9.04E3    	22      	(1/2-,3/2-)       	                         
