A  	Element	A  	N  	Energy    	Unc     	JPi               	T1/2 (txt)               
23 	F      	9  	14 	0         	        	5/2+              	2.23 S 14                
23 	F      	9  	14 	2383      	17      	                  	                         
23 	F      	9  	14 	2920      	1       	                  	                         
23 	F      	9  	14 	3385      	10      	                  	                         
23 	F      	9  	14 	3833      	10      	                  	                         
23 	F      	9  	14 	3887      	19      	                  	                         
23 	F      	9  	14 	3986      	29      	                  	                         
23 	F      	9  	14 	4061      	2       	                  	                         
23 	F      	9  	14 	4630      	20      	                  	                         
23 	F      	9  	14 	4757      	3       	                  	                         
23 	F      	9  	14 	4932      	14      	                  	                         
23 	F      	9  	14 	5000      	60      	                  	                         
23 	F      	9  	14 	5545      	16      	                  	                         
23 	F      	9  	14 	5564      	26      	                  	                         
23 	F      	9  	14 	6250      	80      	                  	                         
23 	F      	9  	14 	6362      	14      	                  	                         
23 	F      	9  	14 	6873      	35      	                  	                         
23 	F      	9  	14 	8.18E+3   	11
