------------------------------------------------------------------------

_Search parameters_:
Nucleus:39CA

------------------------------------------------------------------------

A  	Element	A  	N  	Energy    	Unc     	JPi               	T1/2 (txt)               
39 	CA     	20 	19 	0         	        	3/2+              	859.6 MS 14              
39 	CA     	20 	19 	2468.5    	9       	1/2+              	162 FS 17                
39 	CA     	20 	19 	2796.8    	6       	7/2-              	62 PS 17                 
39 	CA     	20 	19 	3026      	3       	3/2-              	21 FS 11                 
39 	CA     	20 	19 	3639.6    	8       	(9/2-)            	17 PS 10                 
39 	CA     	20 	19 	3825      	2       	(1/2,3/2,5/2)     	0.15 PS 6                
39 	CA     	20 	19 	3869.8    	9       	(1/2:7/2+)        	3.5 PS LT                
39 	CA     	20 	19 	3882      	2       	(3/2-,5/2,7/2+)   	1.7 PS GT                
39 	CA     	20 	19 	3890.5    	12      	(11/2-)           	26 PS LT                 
39 	CA     	20 	19 	3936      	1       	3/2-              	62 FS LT                 
39 	CA     	20 	19 	3951.4    	12      	(3/2-,5/2,7/2+)   	21 PS 17                 
39 	CA     	20 	19 	4020.7    	17      	1/2+              	0.42 PS 12               
39 	CA     	20 	19 	4100      	15      	1/2+              	                         
39 	CA     	20 	19 	4323      	10      	(5/2,7/2)-        	                         
39 	CA     	20 	19 	4431      	10      	5/2+              	                         
39 	CA     	20 	19 	4489      	10      	7/2-              	                         
39 	CA     	20 	19 	4610      	20      	                  	                         
39 	CA     	20 	19 	4710      	20      	                  	                         
39 	CA     	20 	19 	4936      	10      	(5/2)+            	                         
39 	CA     	20 	19 	5070      	20      	(3/2,5/2)+        	                         
39 	CA     	20 	19 	5130      	10      	5/2+              	                         
39 	CA     	20 	19 	5151      	2       	(11/2-)           	                         
39 	CA     	20 	19 	5222      	10      	5/2+              	                         
39 	CA     	20 	19 	5319      	10      	7/2-              	                         
39 	CA     	20 	19 	5364      	10      	                  	                         
39 	CA     	20 	19 	5400      	10      	                  	                         
39 	CA     	20 	19 	5402      	2       	(13/2-)           	                         
39 	CA     	20 	19 	5488      	10      	5/2+              	                         
39 	CA     	20 	19 	5588      	10      	(5/2)+            	                         
39 	CA     	20 	19 	5673      	10      	(5/2)+            	                         
39 	CA     	20 	19 	5720      	10      	(7/2-)            	                         
39 	CA     	20 	19 	5781      	10      	3/2-              	                         
39 	CA     	20 	19 	5851      	10      	3/2-              	                         
39 	CA     	20 	19 	6007      	10      	(1/2:7/2)         	                         
39 	CA     	20 	19 	6094      	10      	(1/2+)            	                         
39 	CA     	20 	19 	6157      	10      	5/2+              	                         
39 	CA     	20 	19 	6286      	10      	5/2+              	                         
39 	CA     	20 	19 	6405      	10      	(7/2)-            	                         
39 	CA     	20 	19 	6432      	2       	(15/2+)           	                         
39 	CA     	20 	19 	6460      	10      	5/2+              	                         
39 	CA     	20 	19 	6514      	10      	(5/2)+            	                         
39 	CA     	20 	19 	6580      	10      	(7/2)-            	                         
39 	CA     	20 	19 	6629      	10      	                  	                         
39 	CA     	20 	19 	6722      	10      	(7/2)-            	                         
39 	CA     	20 	19 	6794      	10      	5/2+              	                         
39 	CA     	20 	19 	6829      	10      	(3/2,5/2)+        	                         
39 	CA     	20 	19 	6900      	2       	(15/2-)           	                         
39 	CA     	20 	19 	6906      	10      	1/2+              	                         
39 	CA     	20 	19 	6954      	10      	(5/2,7/2)-        	                         
39 	CA     	20 	19 	7025      	10      	(5/2-)            	                         
39 	CA     	20 	19 	7060      	10      	                  	                         
39 	CA     	20 	19 	7132      	10      	5/2+              	                         
39 	CA     	20 	19 	7199      	10      	5/2+              	                         
39 	CA     	20 	19 	7248      	10      	5/2+              	                         
39 	CA     	20 	19 	7310      	10      	(5/2-,7/2-)       	                         
