------------------------------------------------------------------------

_Search parameters_:
Nucleus:39K

------------------------------------------------------------------------

A  	Element	A  	N  	Energy    	Unc     	JPi               	T1/2 (txt)               
39 	K      	19 	20 	0         	        	3/2+              	STABLE                   
39 	K      	19 	20 	2522.5    	0.2     	1/2+              	57 FS 6                  
39 	K      	19 	20 	2814.3    	0.2     	7/2-              	47 PS 2                  
39 	K      	19 	20 	3019.2    	0.2     	3/2-              	14 FS 2                  
39 	K      	19 	20 	3597.5    	0.2     	9/2-              	38 PS 2                  
39 	K      	19 	20 	3883.1    	0.4     	5/2-              	7.1 FS 1                 
39 	K      	19 	20 	3938.8    	0.3     	3/2+              	50 FS 20                 
39 	K      	19 	20 	3944.3    	0.2     	11/2-             	9.0 PS 1                 
39 	K      	19 	20 	4082.3    	0.4     	3/2-              	24 FS 4                  
39 	K      	19 	20 	4095.3    	0.3     	1/2+              	63 FS 9                  
39 	K      	19 	20 	4126.0    	0.3     	7/2-              	45 FS 9                  
39 	K      	19 	20 	4475.1    	0.5     	1/2-,3/2-         	0.21 PS 0.05             
39 	K      	19 	20 	4514.3    	0.7     	5/2+              	22 FS 4                  
39 	K      	19 	20 	4520.2    	0.3     	9/2-              	105 FS 35                
39 	K      	19 	20 	4678.6    	0.3     	7/2-              	95 FS 20                 
39 	K      	19 	20 	4737.5    	0.5     	(5/2,7/2,9/2)-    	0.08 PS 0.04             
39 	K      	19 	20 	4737.9    	1.9     	5/2+              	22 FS 4                  
39 	K      	19 	20 	4930.1    	0.4     	3/2+              	21 FS 9                  
39 	K      	19 	20 	4977      	15      	5/2-,7/2-         	                         
39 	K      	19 	20 	5009.1    	0.3     	7/2-              	0.26 PS 0.04             
39 	K      	19 	20 	5010.6    	0.8     	(3/2,5/2-,7/2-)   	35 FS 10                 
39 	K      	19 	20 	5157      	        	                  	                         
39 	K      	19 	20 	5163.9    	0.3     	9/2-              	55 FS 9                  
39 	K      	19 	20 	5165.5    	0.5     	(5/2,7/2,9/2)-    	190 FS 10                
39 	K      	19 	20 	5173.4    	0.8     	(1/2,3/2,5/2)     	15 FS 6                  
39 	K      	19 	20 	5262.7    	0.7     	5/2+              	1.3 FS 0.2               
39 	K      	19 	20 	5318.2    	0.9     	3/2+              	1.4 FS 0.2               
39 	K      	19 	20 	5354.0    	0.2     	11/2-             	95 FS 30                 
39 	K      	19 	20 	5370      	20      	(3/2:9/2)-        	                         
39 	K      	19 	20 	5501      	5       	3/2+              	                         
39 	K      	19 	20 	5501.9    	0.3     	7/2-              	35 FS 20                 
39 	K      	19 	20 	5597.9    	1.3     	5/2+              	2.0 FS 0.2               
39 	K      	19 	20 	5643.4    	0.4     	7/2-              	0.07 PS 0.04             
39 	K      	19 	20 	5711.5    	1.9     	3/2+              	14 FS LT                 
39 	K      	19 	20 	5718.3    	0.2     	13/2-             	0.19 PS 0.05             
39 	K      	19 	20 	5788.3    	0.8     	(5/2,7/2)+        	28 FS 14                 
39 	K      	19 	20 	5801.6    	0.6     	7/2-              	14 FS 7                  
39 	K      	19 	20 	5826.3    	0.7     	1/2-,3/2-         	14 FS LT                 
39 	K      	19 	20 	5891      	2       	7/2-              	                         
