A  	Element	A  	N  	Energy    	Unc     	JPi               	T1/2 (txt)               
41 	CA     	20 	21 	0.0       	        	7/2-              	9.94E+4 Y 15             
41 	CA     	20 	21 	1942.88   	17      	3/2-              	0.42 PS 5                
41 	CA     	20 	21 	2009.73   	21      	3/2+              	0.505 NS 12              
41 	CA     	20 	21 	2462.38   	17      	3/2-              	3.4 PS 10                
41 	CA     	20 	21 	2576.0    	6       	5/2-              	0.16 PS 4                
41 	CA     	20 	21 	2605.5    	3       	5/2+              	0.35 PS 6                
41 	CA     	20 	21 	2670.24   	25      	1/2+              	2.2 PS 5                 
41 	CA     	20 	21 	2884.5    	6       	7/2+              	21 FS 17                 
41 	CA     	20 	21 	2959.3    	6       	7/2-              	28 FS 7                  
41 	CA     	20 	21 	3049.86   	23      	3/2+              	0.7 PS 3                 
41 	CA     	20 	21 	3131      	5       	                  	                         
41 	CA     	20 	21 	3201.39   	16      	9/2+              	31 FS 10                 
41 	CA     	20 	21 	3369.61   	13      	11/2+             	20.6 PS 8                
41 	CA     	20 	21 	3399.9    	3       	1/2+              	82 FS 21                 
41 	CA     	20 	21 	3494.8    	4       	5/2+              	0.28 PS 6                
41 	CA     	20 	21 	3526.6    	6       	3/2+              	38 FS 17                 
41 	CA     	20 	21 	3613.63   	22      	1/2-              	0.11 PS 5                
41 	CA     	20 	21 	3614.4    	8       	7/2+              	15 FS 9                  
41 	CA     	20 	21 	3677.0    	6       	9/2-              	45 FS 12                 
41 	CA     	20 	21 	3730.8    	3       	3/2-              	45 FS 14                 
41 	CA     	20 	21 	3736.7    	15      	                  	                         
41 	CA     	20 	21 	3740.3    	4       	(3/2,5/2)+        	35 FS LT                 
41 	CA     	20 	21 	3829.87   	17      	15/2+             	3.02 NS 13               
41 	CA     	20 	21 	3845.9    	7       	1/2+              	111 FS 31                
41 	CA     	20 	21 	3914.79   	21      	13/2+             	1.5 PS 3                 
41 	CA     	20 	21 	3920      	        	1/2+              	                         
41 	CA     	20 	21 	3944.5    	3       	1/2-              	20 FS LT                 
41 	CA     	20 	21 	3974.3    	5       	7/2+              	24 FS 10                 
41 	CA     	20 	21 	3976.02   	22      	11/2+             	23 FS 7                  
41 	CA     	20 	21 	4015.1    	8       	11/2-             	10 FS 4                  
41 	CA     	20 	21 	4096.8    	6       	5/2+              	21 FS LT                 
41 	CA     	20 	21 	4184.2    	6       	(3/2,5/2)         	39 FS 12                 
41 	CA     	20 	21 	4277.3    	10      	(5/2,7/2,9/2)-    	26 FS LT                 
41 	CA     	20 	21 	4328.4    	11      	                  	110 FS LT                
41 	CA     	20 	21 	4343.1    	10      	9/2-              	0.13 PS 3                
41 	CA     	20 	21 	4416.5    	7       	3/2+              	40 FS 10                 
41 	CA     	20 	21 	4451.0    	10      	9/2+              	83 FS 31                 
41 	CA     	20 	21 	4519.64   	22      	13/2+             	49 FS LT                 
41 	CA     	20 	21 	4550.1    	10      	                  	93 FS 21                 
41 	CA     	20 	21 	4569      	5       	                  	                         
41 	CA     	20 	21 	4603.3    	20      	3/2-              	37 FS LT                 
41 	CA     	20 	21 	4648      	15      	                  	                         
41 	CA     	20 	21 	4728.1    	7       	(3/2)+            	30 FS LT                 
41 	CA     	20 	21 	4731.2    	6       	(5/2)+            	21 FS 10                 
