A  	Element	A  	N  	Energy    	Unc     	JPi               	T1/2 (txt)               
41 	SC     	21 	20 	0         	        	7/2-              	596.3 MS 1.7             
41 	SC     	21 	20 	1716.48   	0.08    	3/2-              	                         
41 	SC     	21 	20 	2096.0    	0.5     	3/2+              	                         
41 	SC     	21 	20 	2414.9    	0.5     	3/2-              	                         
41 	SC     	21 	20 	2588.30   	0.07    	5/2-              	                         
41 	SC     	21 	20 	2666.84   	0.07    	5/2+              	                         
41 	SC     	21 	20 	2719.38   	0.09    	1/2+              	                         
41 	SC     	21 	20 	2882.47   	0.08    	7/2+              	                         
41 	SC     	21 	20 	2972.3    	0.2     	7/2               	                         
41 	SC     	21 	20 	3014      	4       	(3/2-,5/2,7/2+)   	                         
41 	SC     	21 	20 	3185.4    	0.2     	(5/2-)            	                         
41 	SC     	21 	20 	3358.1    	0.7     	(11/2+)           	                         
41 	SC     	21 	20 	3411.8    	0.4     	1/2+              	1.80 KEV 0.18            
41 	SC     	21 	20 	3465      	4       	1/2-              	50 KEV 20                
41 	SC     	21 	20 	3480      	5       	1/2-              	12.0 KEV 1.5             
41 	SC     	21 	20 	3563.0    	0.3     	3/2+              	                         
41 	SC     	21 	20 	3678      	3       	(3/2-,5/2,7/2-)   	                         
41 	SC     	21 	20 	3697.1    	0.3     	7/2               	                         
41 	SC     	21 	20 	3732      	3       	1/2-              	12.0 KEV 1.2             
41 	SC     	21 	20 	3774      	3       	3/2-              	0.70 KEV 0.07            
41 	SC     	21 	20 	3781.2    	0.2     	(5/2+)            	                         
41 	SC     	21 	20 	3788      	5       	3/2+,5/2+         	0.20 KEV 0.02            
41 	SC     	21 	20 	3808      	12      	(1/2,3/2,5/2)+    	                         
41 	SC     	21 	20 	3905      	20      	                  	                         
41 	SC     	21 	20 	3969      	5       	1/2+              	4 KEV                    
41 	SC     	21 	20 	4023.3    	0.4     	(7/2-)            	                         
41 	SC     	21 	20 	4030.7    	0.6     	7/2-              	                         
41 	SC     	21 	20 	4245      	4       	5/2+              	                         
41 	SC     	21 	20 	4328      	4       	5/2+              	                         
41 	SC     	21 	20 	4441      	4       	(5/2-,7/2-)       	                         
41 	SC     	21 	20 	4502      	4       	3/2+              	1.0 KEV 0.2              
41 	SC     	21 	20 	4514      	4       	(9/2+)            	                         
41 	SC     	21 	20 	4535      	4       	3/2-              	12 KEV 3                 
41 	SC     	21 	20 	4644      	4       	1/2-              	36 KEV 10                
41 	SC     	21 	20 	4656      	12      	(1/2,3/2,5/2)+    	                         
41 	SC     	21 	20 	4777      	4       	3/2+              	3 KEV 1                  
41 	SC     	21 	20 	4810      	3       	(5/2-,7/2-,9/2+)  	                         
41 	SC     	21 	20 	4867      	4       	5/2+              	2.0 KEV 0.5              
41 	SC     	21 	20 	4929      	5       	5/2+              	                         
41 	SC     	21 	20 	4947      	4       	5/2+              	1.0 KEV 0.2              
