		Z	N		Q(B-)				Q(EC)				Q(B+)
--------------------------------------------------------------------------------------------------------------------------------
3H		1	2		18.592		0.0		NA		NA		NA		NA
3He		2	1		-13740.0	2000.0		-18.592		0.0		-1040.7919	3.0E-8
4He		2	2		-22898.0	212.0		-22196.0	100.0		-23218.0	100.0
5He		2	3		-447.7		53.9		-21661.2	91.7		-22683.4	91.7
5Li		3	2		-25460.0	2000.0		447.7		53.9		-574.5		53.9
15N		7	8		-2754.166	0.491		-9771.705	0.8		-10793.905	0.8
15O		8	7		-13711.1	14.0		2754.166	0.491		1731.966	0.491
16O		8	8		-15417.25	8.32		-10420.91	2.3		-11443.11	2.3
17O		8	9		-2760.465	0.248		-8678.8		15.0		-9701.0		15.0
17F		9	8		-14548.746	0.432		2760.465	0.248		1738.265	0.248
39K		19	20		-6524.488	0.596		-565.0		5.0		-1587.2		5.0
39Ca		20	19		-13110.0	24.0		6524.488	0.596		5502.288	0.596
40Ca		20	20		-14323.05	2.83		-1310.893	0.06		-2333.0928	0.06
41Ca		20	21		-6495.478	0.158		421.653		0.138		-600.547	0.138
41Sc		21	20		-12944.9	27.9		6495.478	0.158		5473.278	0.158
47K		19	28		6632.44		2.63		-10345.64	1.79		-11367.84	1.79
47Ca		20	27		1992.18		1.18		-6632.44	2.63		-7654.64	2.63
48Ca		20	28		279.21		4.95		-11940.153	0.779		-12962.354	0.779
49Ca		20	29		5261.5		2.7		-11688.275	0.826		-12710.476	0.826
49Sc		21	28		2002.52		2.7		-5261.5		2.7		-6283.7		2.7
55Co		27	28		-8694.034	0.578		3451.417	0.324		2429.217	0.324
55Ni		28	27		-13700.0	156.0		8694.034	0.578		7671.834	0.578
56Ni		28	28		-15264.5	14.9		2132.863	0.374		1110.663	0.374
57Ni		28	29		-8774.947	0.439		3261.731	0.642		2239.531	0.642
57Cu		29	28		-14759.0	200.0		8774.947	0.439		7752.748	0.439
