     8    12     8     8           0p1/2p       13.96366789       1.963667891      -6.036332109      -14.03633211      0.9777580849
    12    12     8     8           0p1/2p       18.39804762      0.3980476206      -11.60195238      -23.60195238      0.9761206472
    16    12     8     8           0p1/2p       24.05768426     0.05768426232      -15.94231574      -31.94231574       0.975936875
    20    12     8     8           0p1/2p       31.33681903       1.336819034      -18.66318097      -38.66318097      0.9759280208
    24    12     8     8           0p1/2p       40.17552903       4.175529032      -19.82447097      -43.82447097      0.9759721833
    28    12     8     8           0p1/2p       50.41536373       8.415363728      -19.58463627      -47.58463627      0.9760500313
     8    12     8     8           0p1/2n         13.898349       1.898349002      -6.101650998        -14.101651      0.9769012157
    12    12     8     8           0p1/2n       18.36943055      0.3694305467      -11.63056945      -23.63056945        0.97541979
    16    12     8     8           0p1/2n       24.06555552     0.06555551794      -15.93444448      -31.93444448      0.9752528623
    20    12     8     8           0p1/2n       31.38907601       1.389076013      -18.61092399      -38.61092399      0.9752668102
    24    12     8     8           0p1/2n       40.27300362       4.273003619      -19.72699638      -43.72699638      0.9753557301
    28    12     8     8           0p1/2n       50.55154419       8.551544189      -19.44845581      -47.44845581      0.9754968678
     8    12     8    14           0p1/2p       13.46114054       1.461140543      -6.538859457      -14.53885946      0.9592932991
    12    12     8    14           0p1/2p       18.29958882      0.2995888233      -11.70041118      -23.70041118      0.9591750509
    16    12     8    14           0p1/2p       24.48975625      0.4897562538      -15.51024375      -31.51024375      0.9592807695
    20    12     8    14           0p1/2p        32.2706451       2.270645098       -17.7293549       -37.7293549      0.9598240065
    24    12     8    14           0p1/2p       41.47458227        5.47458227      -18.52541773      -42.52541773      0.9605957652
    28    12     8    14           0p1/2p       51.81633321       9.816333212      -18.18366679      -46.18366679      0.9614364151
     8    12     8    14           0d5/2n       13.85352263       1.853522629      -6.146477371      -14.14647737      0.9838811454
    12    12     8    14           0d5/2n       18.33860807      0.3386080721      -11.66139193      -23.66139193      0.9845427147
    16    12     8    14           0d5/2n       24.24730649      0.2473064943      -15.75269351      -31.75269351      0.9845520978
    20    12     8    14           0d5/2n       31.77105978       1.771059775      -18.22894022      -38.22894022      0.9844871886
    24    12     8    14           0d5/2n       40.79399425       4.793994251      -19.20600575      -43.20600575      0.9844437236
    28    12     8    14           0d5/2n       51.07529451       9.075294507      -18.92470549      -46.92470549      0.9844253432
     8    12.36  12     8     8           0p1/2p       18.73730941      0.1973094095      -12.16269059      -24.52269059      0.9777580652
     8    5.18   12     8     8           0p1/2p       11.96495794       4.194957944      -0.985042056      -6.165042056       0.977758093
    12    14.07  12     8     8           0p1/2p       21.14027692     0.03527691521      -14.03472308      -28.10472308      0.9761204713
    12    10.23  12     8     8           0p1/2p       16.39862451       1.053624505      -9.176375495      -19.40637549      0.9761207753
    16    16.91  12     8     8           0p1/2p       25.57065533      0.2056553295      -16.70434467      -33.61434467      0.9759367611
    16    15.14  12     8     8           0p1/2p       22.70474541   -0.005254588924      -15.14525459      -30.28525459      0.9759369769
    20    25.25  12     8     8           0p1/2p       43.35436228       5.479362277      -19.77063772      -45.02063772      0.9759270554
    20    15.84  12     8     8           0p1/2p       23.79468303     0.03468302534      -15.80531697      -31.64531697      0.9759286249
    24    34.85  12     8     8           0p1/2p       72.37014022       20.09514022      -14.75485978      -49.60485978      0.9759693891
    24    16.53  12     8     8           0p1/2p       24.91095235      0.1159523463      -16.41404765      -32.94404765      0.9759734993
    28    45.58  12     8     8           0p1/2p       115.0773328       46.70733282       1.127332822      -44.45266718      0.9760438826
    28    17.17  12     8     8           0p1/2p       25.96460346      0.2096034608      -16.96039654      -34.13039654       0.976052331
     8    12.36  12     8     8           0p1/2n        18.7057995      0.1657995047       -12.1942005       -24.5542005      0.9769015187
     8    5.18   12     8     8           0p1/2n       11.88548335       4.115483354      -1.064516646      -6.244516646      0.9769010885
    12    14.07  12     8     8           0p1/2n       21.12978931     0.02478931393      -14.04521069      -28.11521069      0.9754197809
    12    10.23  12     8     8           0p1/2n        16.3567888       1.011788799      -9.218211201       -19.4482112      0.9754197964
    16    16.91  12     8     8           0p1/2n        25.5884571      0.2234570973       -16.6865429       -33.5965429      0.9752528387
    16    15.14  12     8     8           0p1/2n       22.70373657   -0.006263433949      -15.14626343      -30.28626343      0.9752528833
    20    25.25  12     8     8           0p1/2n       43.48210455        5.60710455      -19.64289545      -44.89289545      0.9752665198
    20    15.84  12     8     8           0p1/2n        23.7995663     0.03956629866       -15.8004337       -31.6404337      0.9752669896
